dataset_identifier,data_repository,dataset_webpage,link,source_url,download_link,title,content_type,id,surrounding_text,description,source_section,file_extension
PXD053567,http://www.ebi.ac.uk/pride/archive/,https://www.ebi.ac.uk/pride/archive/projects/PXD053567,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/,,,,,,,,
,,,41598_2024_67079_MOESM1_ESM.zip,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11252349/bin/41598_2024_67079_MOESM1_ESM.zip,No Title,local-data,MOESM1,Supplementary Information.,Supplementary Information.,supplementary material,zip
,,,41598_2024_67079_MOESM1_ESM.zip,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11252349/bin/41598_2024_67079_MOESM1_ESM.zip,No Title,local-data,MOESM1,Supplementary Information.,Supplementary Information.,supplementary material,zip
n/a,n/a,na,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11425778/,,,,,,,,
MSV000092944,massive.ucsd.edu,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000092944,n/a,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11425778/,,,,,"Data Availability Statement
Proteomics data can be found at the MassIVE database via MSV000092944.",,data_availability,
,,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11425778/bin/NIHMS2020672-supplement-SI.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11425778/,,,,,,,supplementary_data,pdf
PXD052949,https://www.proteomexchange.org/,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,,,
n/a,n/a,na,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,,,
6077-6129,https://assays.cancer.gov/available_assays,na,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,,,
n/a,n/a,na,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,,,
,,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_methods_s1_suppsm1.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,,supplementary_data,
,,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_validation_data_s1_suppsd1.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,,supplementary_data,
,,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_validation_data_s2_suppsd2.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,,supplementary_data,
,,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s1_suppsf1.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,,supplementary_data,
,,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s2_suppsf2.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,,supplementary_data,
,,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s3_suppsf3.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,,supplementary_data,
,,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s4_suppsf4.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,,,,,,,supplementary_data,
